event_date,vault_id,failures_count,_4,_5,_6
2023-04-09,ZA21A5XB,ST10000NM0086,0,1093,48700.0
2023-04-09,ZA21EKYM,ST10000NM0086,0,1093,48697.0
2023-04-09,ZGS01GZD,ST500LM030,0,1026,30028.0
2023-04-09,ZHZ15W0F,ST12000NM0008,0,1103,29650.0
2023-04-09,ZHZ3DE9S,ST14000NM0138,0,1153,21048.0
2023-04-09,ZHZ3DSHD,ST14000NM0138,0,1156,20128.0
2023-04-09,ZHZ3QST6,ST12000NM0008,0,1130,30668.0
2023-04-09,ZHZ3S0BZ,ST12000NM0008,0,1130,30668.0
2023-04-09,ZHZ43CCC,ST12000NM0008,0,1135,28847.0
2023-04-09,ZHZ43QMC,ST14000NM0138,0,1154,20919.0
2023-04-09,ZHZ4FTXQ,ST14000NM0138,0,1153,21041.0
2023-04-09,ZHZ4TVYE,ST12000NM0008,0,1135,28838.0
2023-04-09,ZHZ4V6M1,ST12000NM0008,0,1134,28597.0
2023-04-09,ZHZ4X2XQ,ST12000NM0008,0,1065,28960.0
2023-04-09,ZHZ4X97K,ST12000NM0008,0,1134,28601.0
2023-04-09,ZHZ4XF9N,ST12000NM0008,0,1136,26714.0
2023-04-09,ZHZ522BL,ST12000NM0008,0,1068,27385.0
2023-04-09,ZHZ597BZ,ST12000NM0008,0,1068,27278.0
2023-04-09,ZHZ5XEE2,ST12000NM0008,0,1100,17532.0
2023-04-09,ZHZ62FB3,ST12000NM0008,0,1068,27275.0
2023-04-09,ZHZ63E67,ST12000NM0008,0,1068,27293.0
2023-04-09,ZHZ65NNA,ST12000NM0008,0,1119,21111.0
2023-04-09,ZHZ69YQ7,ST12000NM0008,0,1070,26308.0
2023-04-09,ZJV2EGYQ,ST12000NM0007,0,1128,31093.0
2023-04-09,ZJV497QG,ST12000NM0007,0,1128,31155.0
2023-04-09,ZL004QPY,ST12000NM0008,0,1107,23901.0
2023-04-09,ZL00514E,ST12000NM0008,0,1114,22899.0
2023-04-09,ZL0051J0,ST12000NM0008,0,1138,25959.0
2023-04-09,ZL0052HR,ST12000NM0008,0,1100,22543.0
2023-04-09,ZL00535S,ST12000NM0008,0,1098,22546.0
2023-04-09,ZL00567A,ST12000NM0008,0,1101,23119.0
2023-04-09,ZL005BVN,ST12000NM0008,0,1102,23775.0
2023-04-09,ZL005D7R,ST12000NM0008,0,1114,20922.0
2023-04-09,ZL005DDV,ST12000NM0008,0,1137,26086.0
2023-04-09,ZL22W9Y5,ST16000NM001G,0,1081,18220.0
2023-04-09,ZL22YRDY,ST16000NM001G,0,1157,19267.0
2023-04-09,ZL22YREP,ST16000NM001G,0,1157,19267.0
2023-04-09,ZL22Z05S,ST16000NM001G,0,1081,18226.0
2023-04-09,ZL230M3G,ST16000NM001G,0,1084,16680.0
2023-04-09,ZL230W18,ST16000NM001G,0,1084,16670.0
2023-04-09,ZL231QQR,ST16000NM001G,0,1087,15998.0
2023-04-09,ZL23ELVZ,ST12000NM001G,0,1110,16321.0
2023-04-09,ZL23XBFL,ST16000NM001G,0,1161,16734.0
2023-04-09,ZL23XFW3,ST16000NM001G,0,1087,16000.0
2023-04-09,ZL247RKW,ST12000NM001G,0,1107,15043.0
2023-04-09,ZL28YX94,ST14000NM001G,0,1163,15048.0
2023-04-09,ZL295Y8A,ST14000NM001G,0,1163,15040.0
2023-04-09,ZL297SL4,ST14000NM001G,0,1086,16227.0
2023-04-09,ZL2CQY2V,ST14000NM001G,0,1085,16517.0
2023-04-09,ZL2CT14T,ST14000NM001G,0,1086,16226.0
2023-04-09,ZL2D5V1Q,ST14000NM001G,0,1085,16505.0
2023-04-09,ZL2KA4WD,ST16000NM001G,0,2013,4680.0
2023-04-09,ZL2L85SA,ST16000NM001G,0,1167,13493.0
2023-04-09,ZL2L8B8R,ST16000NM001G,0,2005,12505.0
2023-04-09,ZL2L8EPL,ST16000NM001G,0,2004,12389.0
2023-04-09,ZL2L8GLA,ST16000NM001G,0,2003,12201.0
2023-04-09,ZL2L8HP2,ST16000NM001G,0,2004,12385.0
2023-04-09,ZL2L8PHR,ST16000NM001G,0,2004,12379.0
2023-04-09,ZL2L8T9E,ST16000NM001G,0,2005,12506.0
2023-04-09,ZL2L9H1N,ST16000NM001G,0,1403,1701.0
2023-04-09,ZL2LNANB,ST16000NM001G,0,2007,10028.0
2023-04-09,ZL2LTEHH,ST16000NM001G,0,1170,9986.0
2023-04-09,ZL2LTTGV,ST16000NM001G,0,1170,9983.0
2023-04-09,ZL2LVLE4,ST16000NM001G,0,1406,12655.0
2023-04-09,ZL2M9Z52,ST12000NM001G,0,1135,10595.0
2023-04-09,ZL2MCLPP,ST16000NM001G,0,1407,9014.0
2023-04-09,ZL2MJ1PC,ST16000NM001G,0,2007,10192.0
2023-04-09,ZL2MLTNP,ST16000NM001G,0,1403,1712.0
2023-04-09,ZL2MLV4E,ST16000NM001G,0,2006,10675.0
2023-04-09,ZL2MLV5H,ST16000NM001G,0,1407,9021.0
2023-04-09,ZL2MLVAC,ST16000NM001G,0,2007,10192.0
2023-04-09,ZL2MM1FB,ST16000NM001G,0,1403,1697.0
2023-04-09,ZLW0EGBE,ST12000NM001G,0,1140,24908.0
2023-04-09,ZLW0EGEH,ST12000NM001G,0,1142,24288.0
2023-04-09,ZLW0GGG0,ST12000NM001G,0,1072,24639.0
2023-04-09,ZLW0GGG7,ST12000NM001G,0,1139,25334.0
2023-04-09,ZLW0GK18,ST12000NM001G,0,1072,24631.0
2023-04-09,ZLW0GPX8,ST12000NM001G,0,1071,25422.0
2023-04-09,ZLW0GQJM,ST12000NM001G,0,1071,25428.0
2023-04-09,ZLW0GQTX,ST12000NM001G,0,1100,21425.0
2023-04-09,ZLW0HBXN,ST12000NM001G,0,1098,17213.0
2023-04-09,ZLW0THNB,ST12000NM001G,0,1103,21079.0
2023-04-09,ZLW0WZCZ,ST12000NM001G,0,1110,17317.0
2023-04-09,ZLW0XFXA,ST12000NM001G,0,1107,16003.0
2023-04-09,ZLW183S9,ST14000NM001G,0,1076,21700.0
2023-04-09,ZLW18DZ4,ST14000NM001G,0,1151,21038.0
2023-04-09,ZLW18MJ7,ST14000NM001G,0,1076,21788.0
2023-04-09,ZLW18PYG,ST14000NM001G,0,1075,22805.0
2023-04-09,ZLW18SK3,ST14000NM001G,0,1146,22240.0
2023-04-09,ZLW18T14,ST14000NM001G,0,1151,21036.0
2023-04-09,ZLW18V28,ST14000NM001G,0,1075,22784.0
2023-04-09,ZLW18V8M,ST14000NM001G,0,1148,22359.0
2023-04-09,ZLW1A1A7,ST12000NM001G,0,1107,18357.0
2023-04-09,ZLW23TC5,ST14000NM001G,0,1162,15378.0
2023-04-09,ZLW2ACH1,ST12000NM001G,0,1098,15048.0
2023-04-09,ZLW2AWTW,ST12000NM001G,0,1134,1913.0
2023-04-09,ZTM04VQX,ST14000NM001G,0,1163,15034.0
2023-04-09,ZTM0725M,ST14000NM001G,0,1163,15034.0
2023-04-09,ZTM085Z1,ST14000NM001G,0,1163,15025.0
2023-04-09,ZTM08SQS,ST14000NM001G,0,1163,15047.0
2023-04-09,ZTN0882C,ST12000NM001G,0,1099,15572.0
2023-04-09,ZTN0AARW,ST12000NM001G,0,1098,15038.0
2023-04-09,ZTN0AKWN,ST12000NM001G,0,1134,3123.0
2023-04-09,ZTN0AM3F,ST12000NM001G,0,1099,14885.0
2023-04-10,2140E5D8CE98,CT250MX500SSD1,0,1167,10700.0
2023-04-10,S300VKLS,ST4000DM000,0,1007,67457.0
2023-04-10,S300WFBB,ST4000DM000,0,1006,67774.0
2023-04-10,S300XB3G,ST4000DM000,0,1005,67832.0
2023-04-10,S300XCEP,ST4000DM000,0,1005,67828.0
2023-04-10,S300Z4GQ,ST4000DM000,0,1007,67679.0
2023-04-10,S300Z58A,ST4000DM000,0,1005,68775.0
2023-04-10,S300Z5YT,ST4000DM000,0,1006,68140.0
